category;name;rus;eng

talent_name;whisper_of_the_jinn;Шёпот джинна;Whisper of the Jinn
talent_name;whisper_of_the_jinn_mastery;Шёпот джинна (Всего МС);Whisper of the Jinn (Total EM)
talent_descr;whisper_of_the_jinn;Каждые 10 сек. срабатывает следующий эффект: name{восстановление энергии} экипированного этим оружием персонажа увеличивается на %{text_percent|0.036|3} за каждую единицу собственного name{мастерства стихий} на 12 сек. Члены отряда поблизости получат 30% этого эффекта. Если этим оружием обладают и другие члены отряда, эффект суммируется. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя.;The following effect will trigger every 10s: the equipping character will gain %{text_percent|0.036|3} name{Energy Recharge} for each point of name{Elemental Mastery} they possess for 12s, with nearby party members gaining 30% of this buff. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field.
talent_name;heat_haze_at_horizons_end;Марево на горизонте;Heat Haze at Horizon's End
talent_descr;heat_haze_at_horizons_end_1;Экипированный этим оружием персонаж получает бонус атаки, равный %{text_percent} от его мастерства стихий.;The equipping character gains %{text_percent} of their name{Elemental Mastery} as bonus name{ATK}.
talent_descr;heat_haze_at_horizons_end_2;Попадание по врагу name{элементальным навыком} на 10 сек. наделяет name{Сном алых песков}: экипированный этим оружием персонаж получает бонус name{атаки}, равный %{text_percent} от name{мастерства стихий}. Эффект складывается до 3 раз.;When an name{Elemental Skill} hits opponents, the name{Dream of the Scarlet Sands} effect will be gained for 10s: The equipping character will gain %{text_percent} of their name{Elemental Mastery} as bonus name{ATK}. Max 3 stacks.
talent_name;sunken_song_of_the_sands;Погребённая поэма дюн;Sunken Song of the Sands
talent_name;sunken_song_of_the_sands_hp;Погребённая поэма дюн (Макс HP);Sunken Song of the Sands (Max HP)
talent_descr;sunken_song_of_the_sands_1;Увеличивает name{НР} на %{hp_percent}.;name{HP} increased by %{hp_percent}.
talent_descr;sunken_song_of_the_sands_2;Попадание name{элементальным навыком} на 20 сек. создаёт Великое сказание, которое повышает name{мастерство стихий} экипированного этим оружием персонажа на %{text_percent|0.12|2} от его name{макс. HP}. Эффект может возникнуть не чаще 1 раза в 0,3 сек. и складывается до 3 раз.;When an name{Elemental Skill} hits opponents, you gain the Grand Hymn effect for 20s. This effect increases the equipping character's name{Elemental Mastery} by %{text_percent|0.12|2} of their name{Max HP}. This effect can trigger once every 0.3s. Max 3 stacks.
talent_descr;sunken_song_of_the_sands_3;После получения 3 уровней или обновления длительности 3 уровня name{мастерство стихий} всех персонажей поблизости увеличится на  %{text_percent|0.2|2} от name{макс. HP} экипированного этим оружием персонажа на 20 сек.;When this effect gains 3 stacks, or when the third stack's duration is refreshed, the name{Elemental Mastery} of all nearby party members will be increased by %{text_percent|0.2|2} of the equipping character's max name{HP} for 20s.

talent_name;desert_pavilion;Чертоги в пустыне;Desert Pavilion
talent_name;desert_pavilion_mastery;Чертоги в пустыне (Всего МС);Desert Pavilion (Total EM)
talent_name;wildling_nightstar;Звезда диких лесов;Wildling Nightstar
talent_descr;desert_pavilion;Каждые 10 сек. срабатывает следующий эффект: name{сила атаки} экипированного этим оружием персонажа увеличивается на %{text_percent|24} от name{мастерства стихий} на 12 сек. Члены отряда поблизости получат 30% этого эффекта. Если этим оружием обладают и другие члены отряда, эффект суммируется. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя.;The following effect will trigger every 10s: The equipping character will gain %{text_percent|24} of their name{Elemental Mastery} as bonus name{ATK} for 12s, with nearby party members gaining 30% of this buff for the same duration. Multiple instances of this weapon can allow this buff to stack. This effect will still trigger even if the character is not on the field.

talent_name;the_wind_unattained;Недошедший ветер;The Wind Unattained
talent_descr;the_wind_unattained;В течение 10 сек. после активации name{элементальной реакции} name{сила атаки} повысится на %{atk_percent}, name{мастерство стихий} - на %{mastery} ед.;Within 10s after an name{Elemental Reaction} is triggered, name{ATK} is increased by %{atk_percent} and name{Elemental Mastery} is increased by на %{mastery}.
