category;name;rus;eng

char_name;traveler_hydro;Путешественник;Traveler

talent_name;traveler_hydro_foreign_stream;Чужеземный поток;Foreign Stream
talent_descr;traveler_hydro_foreign_stream;<p>name{Обычная атака:}<br>До пяти быстрых ударов.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;traveler_hydro_aquacrest_saber;Клинок водной эмблемы;Aquacrest Saber
talent_descr;traveler_hydro_aquacrest_saber;<p>Выпускает стремительный поток, который очищает мир.</p><p>name{Быстрое нажатие}<br>Выпускает вперёд Бурные воды, которые при соприкосновении с врагами наносят hydro{Гидро урон}.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания и непрерывно выпускает в направлении прицеливания Капли росы, которые при попадании наносят hydro{Гидро урон}.<br>Навык завершается Бурными водами, выпускаемыми вперёд и при соприкосновении наносящими врагам hydro{Гидро урон}.<br>Затопление: при долгом нажатии, если HP путешественника выше 50%, урон Капель росы повысится пропорционально его макс. HP, причём он начнёт терять определённое количество HP каждую секунду.</p><p>name{Архэ: Пневма}<br>После использования Бурных вод периодически выпускает пронзающую врагов Иглу дыхания душ, которая наносит hydro{Гидро урон} пневмы.</p><p><i>Вы с Паймон наблюдали за рябью, пробегающей по водной глади.</i></p>;<p>Unleashes a torrent that can cleanse the world.</p><p>name{Press}<br>Sends a Torrent Surge forward that will deal hydro{Hydro DMG} to opponents it comes into contact with.</p><p>name{Hold}<br>Enter Aiming Mode and constantly fire off Dewdrops in the direction in which you are aiming, dealing hydro{Hydro DMG} to opponents they hit.<br>When the skill ends, it will send a Torrent Surge forward that will deal hydro{Hydro DMG} to opponents it comes into contact with.<br>Suffusion: When using the Hold configuration of this skill, if the Traveler's HP is higher than 50%, the DMG dealt by Dewdrops will increase based on the Traveler's Max HP, and the Traveler will lose a fixed amount of HP every second.</p><p>name{Arkhe: Pneuma}<br>At certain intervals, after using Torrent Surge, this skill will unleash a Spiritbreath Thorn that pierces opponents, dealing Pneuma-aligned hydro{Hydro DMG}.</p><p><i>You studied the ripples in the water with Paimon.</i></p>
talent_name;traveler_hydro_rising_waters;Прибывающая вода;Rising Waters
talent_descr;traveler_hydro_rising_waters;<p>Выпускает медленно парящий пузырь, периодически наносящий hydro{Гидро урон} врагам поблизости.</p><p><i>Вы с Паймон изучили приливы и отливы.</i></p>;<p>Unleashes a slow-moving floating bubble that deals continuous hydro{Hydro DMG} to nearby opponents.</p><p><i>You studied the ebb and flow of the tides with Paimon.</i></p>

feature_skill;traveler_torrent_surge_dmg;Урон Бурных вод;Torrent Surge DMG
feature_skill;traveler_dewdrop_dmg;Урон Капли росы;Dewdrop DMG
feature_skill;traveler_suffusion_hp_cost;Потребление HP Затоплением;Suffusion HP Cost
feature_skill;traveler_suffusion_dmg_bonus;Бонус урона Затопления;Suffusion DMG Bonus
feature_skill;traveler_dewdrop_duration;Длительность долгого нажатия ;Hold Duration
feature_skill;traveler_pouring_descent_shield;Щит водной эмблемы;Aquacrest Aegis
feature_skill;traveler_spotless_waters_heal;Незапятанные воды;Spotless Waters

talent_name;traveler_clear_waters_full;Чистые воды (% Макс. HP);Clear Waters (Max HP %)

talent_name;traveler_suffusion;Затопление;Suffusion
talent_descr;traveler_suffusion;При долгом нажатии, если HP name{путешественника} выше 50%, урон name{Капель росы} повысится пропорционально его name{макс. HP}.;When using the Hold configuration of this skill, if the name{Traveler}'s HP is higher than 50%, the DMG dealt by name{Dewdrops} will increase based on the name{Traveler}'s name{Max HP}.

talent_name;traveler_hydro_spotless_waters;Чистые воды;Spotless Waters
talent_descr;traveler_hydro_spotless_waters;Когда выпущенная долгим нажатием skill{skill:Клинка водной эмблемы} name{Капля росы} попадёт по противнику, рядом с путешественником будет создана name{Капля источника}. Если подобрать её, она восстановит %{text_percent_heal} name{HP} путешественника.<br>Таким способом можно создавать не более 1 name{Капли источника} в секунду. При каждой активации name{Клинка водной эмблемы} можно создать до 4 name{Капель источника}.;After the name{Dewdrop} fired by the Hold Mode of the skill{skill:Aquacrest Saber} hits an opponent, a name{Sourcewater Droplet} will be generated near to the name{Traveler}. If the name{Traveler} picks it up, they will restore %{text_percent_heal} name{HP}.<br>1 name{Droplet} can be created this way every second, and each use of name{Aquacrest Saber} can create 4 name{Droplets} at most.
talent_name;traveler_hydro_clear_waters;Прозрачные воды;Clear Waters
talent_descr;traveler_hydro_clear_waters;Если name{Затопление}, вызванное долгим нажатием skill{skill:Клинка водной эмблемы}, потребило name{HP}, name{Бурные воды}, выпускаемые при завершении навыка, нанесут бонусный урон, равный %{text_percent_dmg} от общего количества name{HP} путешественника, которое было израсходовано name{Затоплением} во время действия данного навыка.<br>Полученный таким образом бонус урона не может превышать %{text_value_max} ед.;If name{HP} has been consumed via name{Suffusion} while using the Hold Mode skill{skill:Aquacrest Saber}, the name{Torrent Surge} at the skill's end will deal Bonus DMG equal to %{text_percent_dmg} of the total name{HP} the name{Traveler} has consumed in this skill use via name{Suffusion}.<br>The maximum name{DMG Bonus} that can be gained this way is %{text_value_max}.
talent_name;traveler_hydro_swelling_lake;Вздымающееся озеро;Swelling Lake
talent_descr;traveler_hydro_swelling_lake;При подборе name{Капли источника} путешественник восстанавливает 2 name{ед. энергии}.<br>Требуется разблокировать пассивный талант «name{Чистые воды}».;"Picking up a name{Sourcewater Droplet} will restore 2 name{Energy} to the name{Traveler}.<br>Requires the Passive Talent ""name{Spotless Waters}."""
talent_name;traveler_hydro_trickling_purity;Струящаяся непорочность;Trickling Purity
talent_descr;traveler_hydro_trickling_purity;Скорость пузыря навыка skill{burst:Прибывающая вода} снижена на 30%, а длительность увеличена на 3 сек.;The name{Movement SPD} of skill{burst:Rising Waters}' bubble will be decreased by 30%, and its duration increased by 3s.
talent_name;traveler_hydro_turbulent_ripples;Беспокойная рябь;Turbulent Ripples
talent_name;traveler_hydro_pouring_descent;Падающие потоки;Pouring Descent
