category;name;rus;eng

talent_name;weapon_sea_shanty;Матросская песня;Sea Shanty
talent_descr;weapon_sea_shanty;Когда экипированный персонаж лечит или получает лечение, он на 30 сек. наделяется name{Символом стойкости}. Всего можно получить до 3 name{Символов}. При активации name{элементального навыка} или name{взрыва стихии} все name{Символы} расходуются и на 10 сек. создаётся эффект name{Воодушевления}: за каждый израсходованный name{Символ} name{мастерство стихий} повышается на %{mastery} ед., а через 2 сек. после активации эффекта каждый израсходованный name{Символ} восстанавливает %{text_decimal} ед. энергии. Эффект name{Воодушевления} может возникнуть один раз в 15 сек. и срабатывает, даже если экипированный персонаж не на поле боя.;When the wielder is healed or heals others, they will gain a name{Stoic's Symbol} that lasts 30s, up to a maximum of 3 name{Symbols}. When using their name{Elemental Skill} or name{Burst}, all name{Symbols} will be consumed and the name{Roused} effect will be granted for 10s. For each name{Symbol} consumed, gain %{mastery} name{Elemental Mastery}, and 2s after the effect occurs, %{text_decimal} Energy per name{Symbol} consumed will be restored for said character. The name{Roused} effect can be triggered once every 15s, and name{Symbols} can be gained even when the character is not on the field.

talent_name;weapon_masons_ditty;Запевка каменщиков;Masons' Ditty
talent_descr;weapon_masons_ditty;Когда экипированный персонаж лечит или получает лечение, он на 30 сек. наделяется name{Меткой единства}. Всего можно получить до 3 name{Меток}. При активации name{элементального навыка} или name{взрыва стихии} все name{Метки} расходуются и на 10 сек. создаётся эффект name{Отпора}: за каждую израсходованную name{Метку} name{сила атаки} повышается на %{atk_percent}, а name{бонус урона} всеми элементами - на %{dmg_pyro}. Эффект name{Отпора} может возникнуть один раз в 15 сек. и срабатывает, даже если экипированный персонаж не на поле боя.;When the wielder is healed or heals others, they will gain a name{Unity's Symbol} that lasts 30s, up to a maximum of 3 name{Symbols}. When using their name{Elemental Skill} or name{Burst}, all Symbols will be consumed and the name{Struggle} effect will be granted for 10s. For each name{Symbol} consumed, gain %{atk_percent} name{ATK} and %{dmg_pyro} All Elemental name{DMG Bonus}. The name{Struggle} effect can be triggered once every 15s, and name{Symbols} can be gained even when the character is not on the field.

talent_name;weapon_azure_skies;Лазурные небеса;Azure Skies
talent_descr;weapon_azure_skies;В течение 6 сек. после попадания name{обычной} или name{заряженной атаки} по противнику урон name{обычной атаки} повысится на %{dmg_normal}, а урон name{заряженной атаки} - на %{dmg_charged}. Эффект может складываться до 3 раз и возникает один раз в 0,3 сек.;Within 6s after name{Normal} or name{Charged Attacks} hit an opponent, name{Normal Attack DMG} will be increased by %{dmg_normal} and name{Charged Attack DMG} will be increased by %{dmg_charged}. Max 3 stacks. Can occur once every 0.3s.


talent_name;weapon_tome_of_the_eternal_flow;Волна вечности;Aeon Wave
talent_descr;weapon_tome_of_the_eternal_flow_1;Увеличивает name{HP} на %{hp_percent}.;name{HP} is increased by %{hp_percent}.
talent_descr;weapon_tome_of_the_eternal_flow_2;Когда текущее HP персонажа повышается или понижается, урон name{заряженной атаки} увеличивается на %{dmg_charged} на 4 сек. Эффект складывается до 3 раз и возникает не чаще, чем 1 раз в 0,3 сек.;When current HP increases or decreases, name{Charged Attack DMG} will be increased by %{dmg_charged} for 4s. Max 3 stacks, can be triggered once every 0.3s.
talent_descr;weapon_tome_of_the_eternal_flow_3;При получении 3 уровней или обновлении времени длительности 3 уровня восстанавливается %{text_value} ед. энергии. Восстанавливать энергию таким образом можно 1 раз в 12 сек.;When you have 3 stacks or refresh a third stack's duration, %{text_value} Energy will be restored. This Energy restoration effect can be triggered once every 12s.


talent_name;weapon_cashflow_supervision;Золотая волна крови;Golden Blood-Tide
talent_descr;weapon_cashflow_supervision_1;Увеличивает name{силу атаки} на %{atk_percent}.;name{ATK} is increased by %{atk_percent}.
talent_descr;weapon_cashflow_supervision_2;Когда текущее HP персонажа повышается или понижается, на 4 сек. урон name{обычной атаки} увеличивается на %{dmg_normal}, а name{заряженной атаки} - на %{dmg_charged}. Эффект складывается до 3 раз и возникает не чаще, чем 1 раз в 0,3 сек.;When current HP increases or decreases, name{Normal Attack DMG} will be increased by %{dmg_normal} and name{Charged Attack DMG} will be increased by %{dmg_charged} for 4s. Max 3 stacks. This effect can be triggered once every 0.3s.
talent_descr;weapon_cashflow_supervision_3;При получении экипированным персонажем 3 уровней name{скорость атаки} увеличивается на %{atk_speed_normal}.;When the wielder has 3 stacks, name{ATK SPD} will be increased by %{atk_speed_normal}.
