category;name;rus;eng
enemy_name;ferocious_warrior_human_ram;Свирепый воин: Таран;Ferocious Warrior: Human Ram
enemy_name;ferocious_warrior_wrestler;Свирепый воин: Борец;Ferocious Warrior: Wrestler
enemy_name;ferocious_warrior_grappler;Свирепый воин: Ловец;Ferocious Warrior: Grappler
enemy_name;tatankasaurus_warrior_skybreaker;Татанказавр-воин: Разрушитель небес;Tatankasaurus Warrior: Skybreaker
enemy_name;tatankasaurus_warrior_spiritlight_chaser;Татанказавр-воин: Ловчая света;Tatankasaurus Warrior: Spiritlight Chaser
enemy_name;tatankasaur_whelp;Детёныш татанказавра;Tatankasaur Whelp
enemy_name;tatankasaur;Татанказавр;Tatankasaurus
enemy_name;thundering_wayob_manifestation;Воплощение Вайоб раскатов грома;Thundering Wayob Manifestation
enemy_name;lava_dragon_statue;Статуя лавового дракона;Lava Dragon Statue
enemy_name;furnace_shell_mountain_weasel;Термопанцирный горный хорь;Furnace Shell Mountain Weasel

enemy_name;ironbeard;Железная Борода;"Ironbeard"
enemy_name;potapos_solidarity;Солидарность Потапо;"Potapo's Solidarity"
enemy_name;tupayos_aid;Содействие Тупайо;"Tupayo's Aid"
enemy_name;spirit_of_the_fallen_dawnstar;Дух Упавшей Утренней Звезды;"Spirit of the Fallen Dawnstar"
enemy_name;tupus_lushness;«Буйство Тупу»;"Tupu's Lushness"
enemy_name;reji;«Реджи»;"Reji"
enemy_name;bronzelock;Бронзовый Замок;"Bronzelock"
enemy_name;rilai;Рилай;Rilai
enemy_name;the_peak;«Пик»;The Peak
enemy_name;infinitesimal;«Ничтожный»;"Infinitesimal"
