category;name;rus;eng
char_name;baizhu;Бай Чжу;Baizhu

feature_skill;baizhu_gossamer_splice_dmg;Урон Летучий дух: Разрез;Gossamer Sprite: Splice DMG
feature_skill;baizhu_gossamer_splice_heal;Лечение Летучий дух: Разрез;Gossamer Sprite: Splice Heal
feature_burst;baizhu_seamless_shield;Поглощение урона Бесшовного щита;Seamless Shield DMG Absorption
feature_burst;baizhu_seamless_heal;Лечение Бесшовного щита;Seamless Shield Healing
feature_burst;baizu_spiritvein_dmg;Урон Призрачной артерии;Spiritvein DMG
feature_burst;baichu_seamless_duration;Длительность Бесшовного щита;Seamless Shield Duration
feature_burst;baichu_duration;Длительность Пульсирующей ясности;Pulsing Clarity Duration
feature_burst;baizhu_bloom_bonus;Бонус урона Горения и Бутонизации;Burning and Bloom DMG Bonus
feature_burst;baizhu_quicken_bonus;Бонус урона Стимуляции;Quicken DMG Bonus

talent_name;baizhu_five_fortunes_forever;Вечный круговорот стихий;Five Fortunes Forever
talent_descr;baizhu_five_fortunes_forever_1;name{Бай Чжу} получает различные эффекты согласно текущему name{HP} вашего активного персонажа:  Если его name{HP} ниже 50%, name{Бай Чжу} получает %{healing} бонус лечения.;name{Baizhu} gains different effects according to the current name{HP} of your current active character: When their name{HP} is less than 50%, name{Baizhu} gains %{healing} name{Healing Bonus}.
talent_descr;baizhu_five_fortunes_forever_2;name{Бай Чжу} получает различные эффекты согласно текущему name{HP} вашего активного персонажа:  Если его name{HP} равно или выше 50%, name{Бай Чжу} получает %{dmg_dendro} бонус dendro{Дендро урона}.;name{Baizhu} gains different effects according to the current name{HP} of your current active character: When their name{HP} is equal to or more than 50%, name{Baizhu} gains %{dmg_dendro} dendro{Dendro DMG Bonus}.
talent_name;baizhu_all_things_are_of_the_earth;Всё рождено землёй;All Things Are of the Earth
talent_descr;baizhu_all_things_are_of_the_earth;Персонажи, получившие лечение skill{burst:Бесшовного щита}, наделяются эффектом name{Год зелёного благодеяния}: каждые 1000 ед. name{макс. HP} name{Бай Чжу} (до 50 000 ед. макс.) увеличивают на 6 сек. урон вызываемых этими персонажами реакций pyro{Горение}, dendro{Бутонизация}, dendro{Вегетация} и dendro{Цветение} на value{2%}, а реакций electro{Обострение} и dendro{Разрастание} на value{0,8%}.;Characters who are healed by skill{burst:Seamless Shields} will gain the name{Year of Verdant Favor} effect: Each 1,000 name{Max HP} that name{Baizhu} possesses that does not exceed 50,000 will increase the pyro{Burning}, dendro{Bloom}, dendro{Hyperbloom}, and dendro{Burgeon} reaction DMG dealt by these characters by value{2%}, while the electro{Aggravate} and dendro{Spread} reaction DMG dealt by these characters will be increased by value{0.8%}. This effect lasts 6s.
talent_name;baizhu_attentive_observation;Пристальное наблюдение;Attentive Observation
talent_descr;baizhu_attentive_observation;Увеличивает количество зарядов навыка skill{skill:Универсальная диагностика} на 1.;skill{skill:Universal Diagnosis} gains 1 additional charge.
talent_name;baizhu_incisive_discernment;Острая проницательность;Incisive Discernment
talent_descr;baizhu_incisive_discernment;Когда атаки вашего активного персонажа попадают по противнику поблизости, name{Бай Чжу} вызывает name{Летучего духа: Разрез}.<br>name{Летучий дух: Разрез} выполняет 1 атаку и возвращается. Он наносит dendro{Дендро урон}, равный 250% от name{силы атаки} name{Бай Чжу}, и восстанавливает name{HP} размером value{20%} от лечения name{Летучего духа} skill{skill:Универсальной диагностики}.<br>Этот урон считается уроном name{элементального навыка}.<br>Эффект активируется не чаще одного раза в 5 сек.;When your own active character hits a nearby opponent with their attacks, name{Baizhu} will unleash a name{Gossamer Sprite: Splice}.<br>name{Gossamer Sprite: Splice} will initiate 1 attack before returning, dealing 250% of name{Baizhu}'s name{ATK} as dendro{Dendro DMG} and healing for value{20%} of skill{skill:Universal Diagnosis}'s name{Gossamer Sprite}'s normal healing.<br>DMG dealt this way is considered name{Elemental Skill DMG}.<br>This effect can be triggered once every 5s.
talent_name;baizhu_all_aspects_stabilized;Стабилизация восьми аспектов;All Aspects Stabilized
talent_name;baizhu_ancient_art_of_perception;Древнее искусство восприятия;Ancient Art of Perception
talent_descr;baizhu_ancient_art_of_perception;На 15 сек. после применения skill{burst:Целостного восстановления} name{мастерство стихий} всех членов отряда поблизости увеличивается на %{mastery} ед.;For 15s after skill{burst:Holistic Revivification} is used, name{Baizhu} will increase all nearby party members' name{Elemental Mastery} by %{mastery}.
talent_name;baizhu_the_hidden_ebb_and_flow;Сокрытые токи;The Hidden Ebb and Flow
talent_name;baizhu_elimination_of_malicious_qi;Устранение зловредной энергии;Elimination of Malicious Qi
talent_descr;baizhu_elimination_of_malicious_qi;Повышает урон name{Призрачных артерий} навыка skill{burst:Целостное восстановление} на %{burst_base_hp_percent} от name{макс. HP} name{Бай Чжу}.<br>Кроме того, попадание skill{burst:Летучего духа} или name{Летучего духа: Разрез} по противнику с вероятностью 100% создаёт name{Бесшовный щит} навыка skill{burst:Целостность выздоровления}. Этот эффект может быть вызван каждым name{Летучим духом} или name{Летучим духом: Разрез} только один раз.;Increases the DMG dealt by skill{burst:Holistic Revivification}'s name{Spiritveins} by %{burst_base_hp_percent} of name{Baizhu}'s name{Max HP}.<br>Additionally, when a skill{burst:Gossamer Sprite} or name{Gossamer Sprite: Splice} hits opponents, there is a 100% chance of generating one of skill{burst:Holistic Revivification}'s name{Seamless Shields}. This effect can only be triggered once by each name{Gossamer Sprite} or name{Gossamer Sprite: Splice}.
