category;name;rus;eng
feature_attack;kazuha_plunge_cryo;Летучий клинок Крио;Soumon Swordsmanship Cryo
feature_attack;kazuha_plunge_electro;Летучий клинок Электро;Soumon Swordsmanship Electro
feature_attack;kazuha_plunge_high;Мидарэ рандзан: Высокая;Midare Ranzan: Plunge High
feature_attack;kazuha_plunge_hydro;Летучий клинок Гидро;Soumon Swordsmanship Hydro
feature_attack;kazuha_plunge_low;Мидарэ рандзан: Низкая;Midare Ranzan: Plunge Low
feature_attack;kazuha_plunge_pyro;Летучий клинок Пиро;Soumon Swordsmanship Pyro
feature_attack;kazuha_plunge;Мидарэ рандзан: В падении;Midare Ranzan: Plunge
feature_burst;kazuha_slashing_dmg;Рубящий урон;Slashing DMG
feature_other;kazuha_elemental_bonus;Поэзия песен ветра;Poetics of Fuubutsu
feature_other;kazuha_crimson_momiji;Багровые листья;Crimson Momiji
