category;name;rus;eng
feature_burst;traveler_falling_thunder_bonus_dmg;Увеличенный урон Нисходящего грома;Increased Falling Thunder DMG
feature_burst;traveler_falling_thunder_dmg;Урон Нисходящего грома;Falling Thunder DMG
feature_burst;traveler_shockwave;Урон ударной волны;Shockwave DMG
feature_skill;traveler_amulet_recharge;Восстановление энергии;Energy Regeneration
feature_skill;traveler_amulet_increase;Увеличение восст. энергии;Energy Recharge Increase
feature_skill;traveler_amulet_duration;Длительность Амулета изобилия;Abundance Amulet Duration
feature_burst;traveler_energy_gain;Восстановление энергии;Energy Regeneration
feature_skill;traveler_electro_recharge_bonus;Бонус восст. энергии;Recharge Bonus

talent_name;traveler_abundance_amulet;Амулеты изобилия;Abundance Amulets
talent_descr;traveler_abundance_amulet;Когда персонаж находится рядом с name{Амулетом изобилия}, он поглощает его и получает следующие эффекты:<br>· Восстанавливает name{элементальную энергию}.<br>· На время действия ускоряет name{восстановление энергии}.;When a character is near an name{Abundance Amulet}, they will absorb it and obtain the following effects:<br>·Restores name{Elemental Energy}<br>·Increases name{Energy Recharge} during the name{Abundance Amulet}'s duration.

talent_name;traveler_thunderflash;Вспышка молнии;Thunderflash
talent_descr;traveler_thunderflash;Когда другой ближайший персонаж в отряде получает name{Амулет изобилия}, созданный навыком skill{burst:Клинок молнии}, name{время отката} этого навыка уменьшается на 1.5 сек.;When another nearby character in the party obtains an name{Abundance Amulet} created by skill{burst:Lightning Blade}, name{Lightning Blade}'s name{CD} is decreased by 1.5s.

talent_name;traveler_resounding_roar;Сокрушительный рокот;Resounding Roar
talent_descr;traveler_resounding_roar;Увеличивает эффект name{восстановления энергии}, даруемый name{Амулетом изобилия} навыка name{Клинок молнии}, на %{text_percent} от name{восстановления энергии} name{путешественника}.;Increases the name{Energy Recharge} effect granted by name{Lightning Blade}'s name{Abundance Amulet} by %{text_percent} of the name{Traveler}'s name{Energy Recharge}.

talent_name;traveler_spring_thunder_of_fertility;Гром весеннего урожая;Spring Thunder of Fertility
talent_descr;traveler_spring_thunder_of_fertility;Количество skill{burst:Амулетов изобилия}, которые создаёт навык name{Клинок молнии}, увеличено до value{3}.;The number of name{Abundance Amulets} that can be generated using skill{burst:Lightning Blade} is increased to value{3}.

talent_name;traveler_violet_vehemence;Пурпурная ярость;Violet Vehemence
talent_descr;traveler_violet_vehemence;Попадание name{Нисходящим громом}, созданным навыком skill{burst:Раскаты грома}, понижает electro{Электро сопротивление} на %{enemy_res_electro} в течение 8 сек.;When name{Falling Thunder} created by skill{burst:Bellowing Thunder} hits an opponent, it will decrease their electro{Electro RES} by %{enemy_res_electro} for 8s.

talent_name;traveler_fickle_cloudstrike;Переменчивые тучи;Fickle Cloudstrike
talent_descr;traveler_fickle_cloudstrike;Когда персонаж получает name{Амулеты изобилия}, создаваемые навыком skill{burst:Клинок молнии}, если его name{энергия} ниже %{text_percent1}, то количество name{энергии}, восстанавливаемое name{Амулетами изобилия}, увеличивается на %{text_percent2}.;When a character obtains name{Abundance Amulets} generated by skill{burst:Lightning Blade}, if this character's name{Energy} is less than %{text_percent1}, the name{Energy} restored by the name{Abundance Amulets} is increased by %{text_percent2}.

talent_name;traveler_world_shaker;Сотрясение мира;World-Shaker
talent_descr;traveler_world_shaker;Каждые 2 атаки name{Нисходящего грома}, вызванные навыком skill{burst:Раскаты грома}, повышают name{урон}, наносимый следующей атакой name{Нисходящего грома} на %{text_percent_dmg} и восстанавливают дополнительную единицу name{энергии} персонажу.;Every 2 name{Falling Thunder} attacks triggered by skill{burst:Bellowing Thunder} will increase the name{DMG} dealt by the next name{Falling Thunder} by %{text_percent_dmg}, and will restore an additional 1 name{Energy} to the current character.
