category;name;rus;eng
enemy_group;hilichurl;Хиличурлы;Hilichurls
enemy_name;dendro_slime;Дендро слайм;Dendro Slime
enemy_name;anemo_slime;Анемо слайм;Anemo Slime
enemy_name;electro_slime;Электро слайм;Electro Slime
enemy_name;cryo_slime;Крио слайм;Cryo Slime
enemy_name;hydro_slime;Гидро слайм;Hydro Slime
enemy_name;geo_slime;Гео слайм;Geo Slime
enemy_name;pyro_slime;Пиро слайм;Pyro Slime
enemy_name;hilichurl;Хиличурл;Hilichurl
enemy_name;hilichurl_fighter;Хиличурл боец;Hilichurl Fighter
enemy_name;hilichurl_berserker;Хиличурл берсерк;Hilichurl Berserker
enemy_name;hilichurl_guard_wooden_shield;Хиличурл с деревянным щитом;Hilichurl Wooden shield
enemy_name;hilichurl_guard_rock_shield;Хиличурл с каменным щитом;Hilichurl Rock shield
enemy_name;hilichurl_guard_ice_shield;Хиличурл с ледяным щитом;Hilichurl Ice shield
enemy_name;hilichurl_grenadier_pyro;Хиличурл гренадер;Hilichurl Grenadier
enemy_name;hilichurl_grenadier_cryo;Крио хиличурл гренадер;Hilichurl Cryo Grenadier
enemy_name;hilichurl_grenadier_electro;Электро хиличурл гренадер;Hilichurl Electro Grenadier
enemy_name;hilichurl_shooter;Хиличурл стрелок;Hilichurl Shooter
enemy_name;hilichurl_shooter_electro;Электро хиличурл стрелок;Hilichurl Electro Shooter
enemy_name;hilichurl_shooter_cryo;Хиличурл с крио стрелами;Hilichurl Cryo Shooter
enemy_name;hilichurl_shooter_pyro;Пиро хиличурл стрелок;Hilichurl Pyro Shooter
enemy_name;unusual_hilichurl;Странный хиличурл;Unusual Hilichurl
enemy_name;samachurl_anemo;Анемо шамачурл;Anemo Samachurl
enemy_name;samachurl_geo;Гео шамачурл;Geo Samachurl
enemy_name;samachurl_dendro;Дендро шамачурл;Dendro Samachurl
enemy_name;samachurl_hydro;Гидро шамачурл;Hydro Samachurl
enemy_name;samachurl_cryo;Крио шамачурл;Cryo Samachurl
enemy_name;samachurl_electro;Электро шамачурл;Electro Samachurl
enemy_name;mitachurl_wooden_shieldwall;Митачурл с деревянным щитом;Wooden Shieldwall Mitachurl
enemy_name;mitachurl_rock_shieldwall;Митачурл с каменным щитом;Rock Shieldwall Mitachurl
enemy_name;mitachurl_ice_shieldwall;Митачурл с ледяным щитом;Ice Shieldwall Mitachurl
enemy_name;mitachurl_blazing_axe;Митачурл с огненным топором;Blazing Axe Mitachurl
enemy_name;mitachurl_crackling_axe;Митачурл с электрическим топором;Crackling Axe Mitachurl
enemy_name;lawachurl_stonehide;Лавачурл с каменным панцирем;Stonehide Lawachurl
enemy_name;lawachurl_frostarm;Лавачурл с инеевым панцирем;Frostarm Lawachurl
enemy_name;lawachurl_thunderhelm;Лавачурл с громовым шлемом;Thunderhelm Lawachurl
enemy_name;hydro_hilichurl_rogue;Гидро хиличурл-изгой;Hydro Hilichurl Rogue
enemy_name;anemo_hilichurl_rogue;Анемо хиличурл-изгой;Anemo Hilichurl Rogue

enemy_group;elemental;Элементальные существа;Elemental Lifeforms
enemy_name;eye_of_the_storm;Глаз бури;Eye of the Storm
enemy_name;electro_hypostasis;Электро гипостазис;Electro Hypostasis
enemy_name;anemo_hypostasis;Анемо гипостазис;Anemo Hypostasis
enemy_name;geo_hypostasis;Гео гипостазис;Geo Hypostasis
enemy_name;cryo_hypostasis;Крио гипостазис;Cryo Hypostasis
enemy_name;pyro_hypostasis;Пиро гипостазис;Pyro Hypostasis
enemy_name;hydro_hypostasis;Гидро гипостазис;Hydro Hypostasis
enemy_name;dendro_hypostasis;Дендро гипостазис;Dendro Hypostasis
enemy_name;oceanid;Океанид;Oceanid
enemy_name;thunder_manifestation;Манифестация грома;Thunder Manifestation
enemy_name;hydro_specter;Гидро призрак;Hydro Specter
enemy_name;geo_specter;Гео призрак;Geo Specter
enemy_name;anemo_specter;Анемо призрак;Anemo Specter
enemy_name;cryo_specter;Крио призрак;Cryo Specter
enemy_name;electro_specter;Электро призрак;Electro Specter
enemy_name;pyro_specter;Пиро призрак;Pyro Specter
enemy_name;dendro_specter;Дендро призрак;Dendro Specter
enemy_name;tainted_water_splitting_phantasm;Дробящий воду фантазм;Tainted Water-Splitting Phantasm
enemy_name;tainted_water_spouting_phantasm;Извергающий воду фантазм;Tainted Water-Spouting Phantasm
enemy_name;hydro_tulpa;Гидротульпа;Hydro Tulpa

enemy_group;abyss;Орден бездны;Abyss Order
enemy_name;pyro_abyss_mage;Пиро маг Бездны;Pyro Abyss Mage
enemy_name;cryo_abyss_mage;Крио маг Бездны;Cryo Abyss Mage
enemy_name;hydro_abyss_mage;Гидро маг Бездны;Hydro Abyss Mage
enemy_name;electro_abyss_mage;Электро маг Бездны;Electro Abyss Mage
enemy_name;abyss_herald;Вестник Бездны: Злые течения;Abyss Herald: Wicked Torrents
enemy_name;abyss_lector;Чтец Бездны: Пурпурная молния;Abyss Lector: Violet Lightning
enemy_name;abyss_lector_pyro;Чтец Бездны: Пламя бездны;Abyss Lector: Fathomless Flames
enemy_name;rockfond_rifthound_whelp;Щенок Разрыва: Камнегрыз;Rockfond Rifthound Whelp
enemy_name;rockfond_rifthound;Гончая Разрыва: Камнегрыз;Rockfond Rifthound
enemy_name;thundercraven_rifthound_whelp;Щенок Разрыва: Громоед;Thundercraven Rifthound Whelp
enemy_name;thundercraven_rifthound;Гончая Разрыва: Громоед;Thundercraven Rifthound
enemy_name;golden_wolflord;Золотой волчий вожак;Golden Wolflord
enemy_name;shadowy_husk_standard_bearer;Чёрный доспех: Знаменосец;Shadowy Husk: Standard Bearer
enemy_name;shadowy_husk_line_breaker;Чёрный доспех: Штурмовик;Shadowy Husk: Line Breaker
enemy_name;shadowy_husk_defender;Чёрный доспех: Гвардеец;Shadowy Husk: Defender
enemy_name;black_serpent_knight_windcutter;Рыцарь Чёрного Змея: Разрезающий ветер;Black Serpent Knight: Windcutter
