category;name;rus;eng
weapon_name;a_thousand_blazing_suns;Тысяча ослепительных солнц;A Thousand Blazing Suns
weapon_name;a_thousand_floating_dreams;Сновидения тысячи ночей;A Thousand Floating Dreams
weapon_name;absolution;Отпущение грехов;Absolution
weapon_name;akuoumaru;Акуомару;Akuoumaru
weapon_name;alley_hunter;Охотник во тьме;Alley Hunter
weapon_name;amenoma_kageuchi;Амэнома Кагэути;Amenoma Kageuchi
weapon_name;amos_bow;Лук Амоса;Amos' Bow
weapon_name;aqua_simulacra;Аква симулякрум;Aqua Simulacra
weapon_name;aquila_favonia;Меч Сокола;Aquila Favonia
weapon_name;ash_graven_drinking_horn;Пепельный рог;Ash-Graven Drinking Horn
weapon_name;astral_vultures_crimson_plumage;Алое перо звёздного грифа;Astral Vulture's Crimson Plumage
weapon_name;ballad_of_the_boundless_blue;Песнь необъятной лазури;Ballad of the Boundless Blue
weapon_name;ballad_of_the_fjords;Баллада фьордов;Ballad of the Fjords
weapon_name;beacon_of_the_reed_sea;Маяк тростникового моря;Beacon of the Reed Sea
weapon_name;black_tassel;Чёрная кисть;Black Tassel
weapon_name;blackcliff_agate;Черногорский агат;Blackcliff Agate
weapon_name;blackcliff_longsword;Черногорский длинный меч;Blackcliff Longsword
weapon_name;blackcliff_pole;Черногорская пика;Blackcliff Pole
weapon_name;blackcliff_slasher;Черногорская бритва;Blackcliff Slasher
weapon_name;blackcliff_warbow;Черногорский боевой лук;Blackcliff Warbow
weapon_name;bloodtainted_greatsword;Меч драконьей крови;Bloodtainted Greatsword
weapon_name;calamity_of_eshu;Бедствие Эшу;Calamity of Eshu
weapon_name;calamity_queller;Усмиритель бед;Calamity Queller
weapon_name;cashflow_supervision;Казначейский надзор;Cashflow Supervision
weapon_name;chain_breaker;Разбивающий цепи;Chain Breaker
weapon_name;cinnabar_spindle;Киноварное веретено;Cinnabar Spindle
weapon_name;cloudforged;Выкованный из облаков;Cloudforged
weapon_name;compound_bow;Составной лук;Compound Bow
weapon_name;cool_steel;Холодное лезвие;Cool Steel
weapon_name;cranes_echoing_call;Звонкий клич журавля;Crane's Echoing Call
weapon_name;crescent_pike;Пика полумесяца;Crescent Pike
weapon_name;crimson_moons_semblance;Очертания алой луны;Crimson Moon's Semblance
weapon_name;dark_iron_sword;Тёмный железный меч;Dark Iron Sword
weapon_name;deathmatch;Смертельный бой;Deathmatch
weapon_name;debate_club;Дубина переговоров;Debate Club
weapon_name;dialogues_of_the_desert_sages;Диалог пустынных мудрецов;Dialogues of the Desert Sages
weapon_name;dodoco_tales;Истории Додоко;Dodoco Tales
weapon_name;dragons_bane;Гроза драконов;Dragon's Bane
weapon_name;dragonspine_spear;Копьё Драконьего хребта;Dragonspine Spear
weapon_name;earth_shaker;Сотрясающий землю;Earth Shaker
weapon_name;elegy_for_the_end;Элегия погибели;Elegy for the End
weapon_name;emerald_orb;Изумрудный шар;Emerald Orb
weapon_name;end_of_the_line;Иссушитель;End of the Line
weapon_name;engulfing_lightning;Сияющая жатва;Engulfing Lightning
weapon_name;everlasting_moonglow;Вечное лунное сияние;Everlasting Moonglow
weapon_name;eye_of_perception;Око сознания;Eye of Perception
weapon_name;fading_twilight;Гаснущие сумерки;Fading Twilight
weapon_name;fang_of_the_mountain_king;Клык Горного короля;Fang of the Mountain King
weapon_name;favonius_codex;Кодекс Фавония;Favonius Codex
weapon_name;favonius_greatsword;Двуручный меч Фавония;Favonius Greatsword
weapon_name;favonius_lance;Копьё Фавония;Favonius Lance
weapon_name;favonius_sword;Меч Фавония;Favonius Sword
weapon_name;favonius_warbow;Боевой лук Фавония;Favonius Warbow
weapon_name;ferrous_shadow;Металлическая тень;Ferrous Shadow
weapon_name;festering_desire;Осквернённое желание;Festering Desire
weapon_name;fillet_blade;Филейный нож;Fillet Blade
weapon_name;finale_of_the_deep;Грандиозный финал глубин;Finale of the Deep
weapon_name;fleuve_cendre_ferryman;Перевозчик Флёв Сандр;Fleuve Cendre Ferryman
weapon_name;flower_wreathed_feathers;Украшенные цветами перья;Flower-Wreathed Feathers
weapon_name;flowing_purity;Сверкание чистых вод;Flowing Purity
weapon_name;flute_of_ezpitzal;Флейта Эспицаль;Flute of Ezpitzal
weapon_name;footprint_of_the_rainbow;След радуги;Footprint of the Rainbow
weapon_name;forest_regalia;Регалия леса;Forest Regalia
weapon_name;freedom_sworn;Клятва свободы;Freedom-Sworn
weapon_name;frostbearer;Плод вечной мерзлоты;Frostbearer
weapon_name;fruit_of_fulfillment;Плод восполнения;Fruit of Fulfillment
weapon_name;fruitful_hook;Плодотворный крюк;Fruitful Hook
weapon_name;hakushin_ring;Кольцо Хакусин;Hakushin Ring
weapon_name;halberd;Алебарда Миллелита;Halberd
weapon_name;hamayumi;Хамаюми;Hamayumi
weapon_name;haran_geppaku_futsu;Харан гэппаку фуцу;Haran Geppaku Futsu
weapon_name;harbinger_of_dawn;Предвестник зари;Harbinger of Dawn
weapon_name;hunters_path;Охотничья тропа;Hunter's Path
weapon_name;ibis_piercer;Клюв ибиса;Ibis Piercer
weapon_name;iron_sting;Стальное жало;Iron Sting
weapon_name;jadefalls_splendor;Великолепие лазурного свода;Jadefall's Splendor
weapon_name;kagotsurube_isshin;Кагоцурубэ Иссин;Kagotsurube Isshin
weapon_name;kaguras_verity;Истина кагура;Kagura's Verity
weapon_name;katsuragikiri_nagamasa;Кацурагикири Нагамаса;Katsuragikiri Nagamasa
weapon_name;key_of_khaj_nisut;Ключ Хадж-нисут;Key of Khaj-Nisut
weapon_name;kings_squire;Приближённый короля;King's Squire
weapon_name;kitain_cross_spear;Крест-копьё Китаин;Kitain Cross Spear
weapon_name;light_of_foliar_incision;Свет лиственного разреза;Light of Foliar Incision
weapon_name;lions_roar;Драконий рык;Lion's Roar
weapon_name;lithic_blade;Каменный меч;Lithic Blade
weapon_name;lithic_spear;Каменное копьё;Lithic Spear
weapon_name;lost_prayer_to_the_sacred_winds;Молитва святым ветрам;Lost Prayer to the Sacred Winds
weapon_name;lumidouce_elegy;Элегия Люмидус;Lumidouce Elegy
weapon_name;luxurious_sea_lord;Благодатный владыка вод;Luxurious Sea-Lord
weapon_name;magic_guide;Руководство по магии;Magic Guide
weapon_name;mailed_flower;Цветок в латах;Mailed Flower
weapon_name;makhaira_aquamarine;Аквамарин Махайры;Makhaira Aquamarine
weapon_name;mappa_mare;Морской атлас;Mappa Mare
weapon_name;memory_of_dust;Память о пыли;Memory of Dust
weapon_name;messenger;Посыльный;Messenger
weapon_name;missive_windspear;Копьё послания ветров;Missive Windspear
weapon_name;mistsplitter_reforged;Рассекающий туман;Mistsplitter Reforged
weapon_name;mitternachts_waltz;Вальс Нирваны Ночи;Mitternachts Waltz
weapon_name;moonpiercer;Пронзающий луну;Moonpiercer
weapon_name;mountain_bracing_bolt;Крепящий горы шип;Mountain-Bracing Bolt
weapon_name;mouuns_moon;Луна Моун;Mouun's Moon
weapon_name;oathsworn_eye;Око клятвы;Oathsworn Eye
weapon_name;otherworldly_story;Потусторонняя история;Otherworldly Story
weapon_name;peak_patrol_song;Песнь патруля пиков;Peak Patrol Song
weapon_name;polar_star;Полярная звезда;Polar Star
weapon_name;portable_power_saw;Переносная мотопила;Portable Power Saw
weapon_name;predator;Хищник;Predator
weapon_name;primordial_jade_cutter;Драгоценный омут;Primordial Jade Cutter
weapon_name;primordial_jade_winged_spear;Нефритовый коршун;Primordial Jade Winged-Spear
weapon_name;prospectors_drill;Бур рудоискателя;Prospector's Drill
weapon_name;prototype_amber;Прототип: Янтарь;Prototype Amber
weapon_name;prototype_archaic;Прототип: Архаичный;Prototype Archaic
weapon_name;prototype_crescent;Прототип: Полумесяц;Prototype Crescent
weapon_name;prototype_rancour;Прототип: Злоба;Prototype Rancour
weapon_name;prototype_starglitter;Прототип: Звёздный блеск;Prototype Starglitter
weapon_name;rainslasher;Дождерез;Rainslasher
weapon_name;range_gauge;Дальномер;Range Gauge
weapon_name;raven_bow;Лук ворона;Raven Bow
weapon_name;recurve_bow;Изогнутый лук;Recurve Bow
weapon_name;redhorn_stonethresher;Краснорогий камнеруб;Redhorn Stonethresher
weapon_name;rightful_reward;Справедливая награда;Rightful Reward
weapon_name;ring_of_yaxche;Кольцо Яшче;Ring of Yaxche
weapon_name;royal_bow;Королевский лук;Royal Bow
weapon_name;royal_greatsword;Королевский двуручный меч;Royal Greatsword
weapon_name;royal_grimoire;Королевский гримуар;Royal Grimoire
weapon_name;royal_longsword;Меч аристократов;Royal Longsword
weapon_name;royal_spear;Королевское копьё;Royal Spear
weapon_name;rust;Ржавый лук;Rust
weapon_name;sacrificial_bow;Церемониальный лук;Sacrificial Bow
weapon_name;sacrificial_fragments;Церемониальные мемуары;Sacrificial Fragments
weapon_name;sacrificial_greatsword;Церемониальный двуручный меч;Sacrificial Greatsword
weapon_name;sacrificial_jade;Жертвенный нефрит;Sacrificial Jade
weapon_name;sacrificial_sword;Церемониальный меч;Sacrificial Sword
weapon_name;sapwood_blade;Деревянный клинок;Sapwood Blade
weapon_name;scion_of_the_blazing_sun;Наследник слепящего солнца;Scion of the Blazing Sun
weapon_name;serpent_spine;Меч драконьей кости;Serpent Spine
weapon_name;sharpshooters_oath;Клятва стрелка;Sharpshooter's Oath
weapon_name;silvershower_heartstrings;Сердечные струны дождя;Silvershower Heartstrings
weapon_name;skyrider_greatsword;Большой меч небесного всадника;Skyrider Greatsword
weapon_name;skyrider_sword;Меч небесного всадника;Skyrider Sword
weapon_name;skyward_atlas;Небесный атлас;Skyward Atlas
weapon_name;skyward_blade;Небесный меч;Skyward Blade
