category;name;rus;eng
talent_name;weapon_fruitful_hook;Тяжесть падающих ветвей;The Weight of Falling Branches
talent_descr;weapon_fruitful_hook_1;Увеличивает name{шанс крит. попадания} name{атаки в падении} на %{crit_rate_plunge}.;Increase name{Plunging Attack} name{CRIT Rate} by %{crit_rate_plunge}.
talent_descr;weapon_fruitful_hook_2;После того как name{атака в падении} попадает по противнику, урон name{обычной атаки}, name{заряженной атаки} и name{атаки в падении} увеличивается на %{dmg_normal} на 10 сек.;After a name{Plunging Attack} hits an opponent, name{Normal}, name{Charged}, and name{Plunging Attack DMG} increased by %{dmg_normal} for 10s.
talent_name;weapon_mountain_bracing_bolt;Надежда выше гор;Hope Beyond the Peaks
talent_descr;weapon_mountain_bracing_bolt_1;Снижает потребление выносливости при карабканье на 15% и повышает урон name{элементального навыка} на %{dmg_skill}.;Decreases Climbing Stamina Consumption by 15% and increases name{Elemental Skill DMG} by %{dmg_skill}.
talent_descr;weapon_mountain_bracing_bolt_2;Кроме того, после того как другие члены отряда поблизости используют name{элементальные навыки}, урон name{элементального навыка} экипированного персонажа повышается на %{dmg_skill} на 8 сек.;Also, after other nearby party members use name{Elemental Skills}, the equipping character's name{Elemental Skill DMG} will also increase by %{dmg_skill} for 8s.
talent_name;weapon_peak_patrol_song;Нескончаемая благодать;Halcyon Years Unending
talent_descr;weapon_peak_patrol_song_1;Попадание по врагу name{обычной атакой} или name{атакой в падении} наделяет Одой цветам: она повышает name{защиту} на %{def_percent} и даёт %{dmg_pyro} бонус урона всеми элементами. Эффект длится 6 сек., складывается до 2 раз и возникает не чаще одного раза в 0,1 сек.;"Gain ""Ode to Flowers"" after name{Normal} or name{Plunging Attacks} hit an opponent: name{DEF} increases by %{def_percent} and gain a %{dmg_pyro} All name{Elemental DMG Bonus} for 6s. Max 2 stacks. Can trigger once per 0.1s."
talent_descr;weapon_peak_patrol_song_2;Когда этот эффект достигает второго уровня или длительность второго уровня обновляется, за каждую 1000 ед. name{защиты} экипированного персонажа бонус урона всеми элементами всех членов отряда поблизости увеличивается на %{text_percent|8} на 15 сек. Максимальное увеличение составляет %{text_percent_max|25.6}.;When this effect reaches 2 stacks or the 2nd stack's duration is refreshed, increase all nearby party members' All name{Elemental DMG Bonus} by %{text_percent|8} for every 1,000 name{DEF} the equipping character has, up to a maximum of %{text_percent_max|25.6}, for 15s.
talent_name;weapon_sturdy_bone;Бахвальство ловчего;Trapper's Pride
talent_descr;weapon_sturdy_bone;Спринт или заменяющие его навыки расходуют на 15% выносливости меньше. Кроме того, после использования спринта или заменяющего его навыка урон name{обычной атаки} повышается на %{text_percent_dmg} от name{силы атаки}. Эффект исчезает после 18 активаций или через 7 сек.;Sprint or Alternate Sprint Stamina Consumption decreased by 15%. Additionally, after using Sprint or Alternate Sprint, name{Normal Attack DMG} is increased by %{text_percent_dmg} of name{ATK}. This effect expires after triggering 18 times or 7s.
