category;name;rus;eng
tab_header;food;Еда;Food
food_view;type_attack;Атака;Attack
food_view;type_defence;Защита;Defence
food_view;type_potion;Зелье;Potion
food_view;disclaimer;* Показаны только блюда которые дают разные бонусы.;* Only dishes that give different bonuses are listed.

food_view;quality_n_1;Странное;Suspicious
food_view;quality_n_2;Обычное;Normal
food_view;quality_n_3;Вкусное;Delicious
food_view;quality_n_4;Особое;Special
food_view;quality_m_1;Странный;Suspicious
food_view;quality_m_2;Обычный;Normal
food_view;quality_m_3;Вкусный;Delicious
food_view;quality_m_4;Особый;Special
food_view;quality_f_1;Странная;Suspicious
food_view;quality_f_2;Обычная;Normal
food_view;quality_f_3;Вкусная;Delicious
food_view;quality_f_4;Особая;Special
food_view;quality_z_1;Странные;Suspicious
food_view;quality_z_2;Обычные;Normal
food_view;quality_z_3;Вкусные;Delicious
food_view;quality_z_4;Особые;Special

food_name;not_selected;Не выбрано;Not selected

food_name;adeptus_temptation;«Искушение Адепта»;Adeptus' Temptation
food_name;chicken_tofu_pudding;Куриный тофу;Chicken Tofu Pudding
food_name;golden_fried_chicken;Курочка «Пальчики оближешь!»;Golden Fried Chicken
food_name;jade_parcels;«Нефритовые мешочки»;Jade Parcels
food_name;tianshu_meat;Мясо «Тяньшу»;Tianshu Meat
food_name;adventurers_breakfast_sandwich;Яичная крепость;Adventurer's Breakfast Sandwich
food_name;cold_cut_platter;Мясное ассорти;Cold Cut Platter
food_name;fragrant_mashed_potatoes;Ароматное пюре;Fragrant Mashed Potatoes
food_name;jueyun_guoba;Заоблачный гоба;Jueyun Guoba
food_name;qingce_stir_fry;«Сельская услада»;Qingce Stir Fry
food_name;sauteed_matsutake;Обжаренные мацутакэ;Sautéed Matsutake
food_name;pile_em_up;«Расти гора»;"Pile 'Em Up"
food_name;come_and_get_it;Налетайка;Come and Get It
food_name;cured_pork_dry_hotpot;Ветчина на сковороде;Cured Pork Dry Hotpot
food_name;baklava;Пахлава;Baklava

food_name;almond_tofu;Миндальный тофу;Almond Tofu
food_name;satisfying_salad;Питательный салат;Satisfying Salad
food_name;braised_meat;;Braised Meat
food_name;crab_roe_kourayaki;;Crab Roe Kourayaki
food_name;fried_radish_balls;;Fried Radish Balls
food_name;imported_poultry;;Imported Poultry
food_name;jueyun_chili_chicken;;Jueyun Chili Chicken
food_name;mint_salad;;Mint Salad
food_name;more_and_more;;More-and-More
food_name;radish_and_fish_stew;;Radish and Fish Stew
food_name;sashimi_platter;;Sashimi Platter
food_name;stone_harbor_delicacies;;Stone Harbor Delicacies
food_name;tri_flavored_skewer;;Tri-Flavored Skewer

food_name;die_heilige_sinfonie;Благословенная симфония;Die Heilige Sinfonie
food_name;once_upon_a_time_in_mondstadt;«Однажды в Мондштадте»;"Once Upon a Time in Mondstadt"
food_name;no_tomorrow;Блюдо без будущего;No Tomorrow
food_name;der_weisheit_letzter_schluss;Высшая мудрость (Жизнь);Der Weisheit Letzter Schluss (Life)
