category;name;rus;eng
feature_weapon;kings_squire_dmg;Наставление лесов;The Teachings of the Forest

talent_name;net_snapper;Разрывающий сети;Net Snapper
talent_descr;net_snapper;Активация элементального навыка вызывает эффект name{Плывущего по течению}: атаки при попадании наносят урон по площади, равный %{text_percent_dmg} от name{силы атаки}. Через 15 сек. либо после 3 нанёсших урон атак эффект исчезнет. Эффект наносит урон не чаще одного раза в 2 сек. и может возникнуть раз в 12 сек.;Triggers the name{Flowrider} effect after using an name{Elemental Skill}, dealing %{text_percent_dmg} name{ATK} as AoE DMG upon hitting an opponent with an attack. name{Flowrider} will be removed after 15s or after causing 3 instances of AoE DMG. Only 1 instance of AoE DMG can be caused every 2s in this way. name{Flowrider} can be triggered once every 12s.

talent_name;at_the_end_of_the_beast_paths;Конец звериной тропы;At the End of the Beast-Paths
talent_descr;at_the_end_of_the_beast_paths_1;Даёт %{dmg_anemo} бонус урона всеми элементами.;Gain name{12%} All Elemental DMG Bonus.
talent_descr;at_the_end_of_the_beast_paths_2;Попадание name{заряженной атакой} наделяет персонажа эффектом name{Непрестанной охоты}, который увеличивает урон name{заряженных атак} на %{text_percent} от name{мастерства стихий}. Через 10 сек. либо после 12 активаций эффект исчезает. Может возникнуть один раз в 12 сек.;Obtain the name{Tireless Hunt} effect after hitting an opponent with a name{Charged Attack}. This effect increases name{Charged Attack DMG} by %{text_percent} of name{Elemental Mastery}. This effect will be removed after 12 Charged Attacks or 10s. Only 1 instance of name{Tireless Hunt} can be gained every 12s.

talent_name;labyrinth_lords_instruction;Учения владыки лабиринта;Labyrinth Lord's Instruction
talent_descr;labyrinth_lords_instruction;Активация name{элементального навыка} или name{взрыва стихии} наделяет персонажа эффектом name{Наставлений лесов}, который увеличивает его name{мастерство стихий} на %{mastery} ед. на 12 сек. При переключении персонажа эффект пропадёт. Когда время действия эффекта заканчивается или он пропадёт, одному из противников поблизости наносится урон в %{text_percent_dmg} от name{силы атаки}. Этот эффект может возникнуть раз в 20 сек.;Obtain the name{Teachings of the Forest} effect when unleashing name{Elemental Skills} and name{Bursts}, increasing name{Elemental Mastery} by %{mastery} for 12s. This effect will be removed when switching characters. When the name{Teachings of the Forest} effect ends or is removed, it will deal %{text_percent_dmg} of name{ATK} as DMG to 1 nearby opponent. name{The Teachings of the Forest} effect can be triggered once every 20s.

talent_name;forest_sanctuary;Благословение чащи;Forest Sanctuary
talent_descr;forest_sanctuary;Активация статусов pyro{Горение}, dendro{Стимуляция}, electro{Обострение}, dendro{Разрастание}, dendro{Бутонизация}, dendro{Вегетация} и dendro{Цветение} создают рядом с персонажем name{Семя сознания}, которое существует 10 сек. name{Мастерство стихий} подобравшего его персонажа повышается на %{mastery|60} ед. на 12 сек. name{Семя сознания} может возникнуть раз в 20 сек. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя. Эффект name{Семени сознания} не суммируется.;After triggering pyro{Burning}, dendro{Quicken}, electro{Aggravate}, dendro{Spread}, dendro{Bloom}, dendro{Hyperbloom}, or dendro{Burgeon}, a name{Leaf of Consciousness} will be created around the character for a maximum of 10s. When picked up, the name{Leaf} will grant the character %{mastery|60} name{Elemental Mastery} for 12s. Only 1 Leaf can be generated this way every 20s. This effect can still be triggered if the character is not on the field. The name{Leaf of Consciousness}' effect cannot stack.

talent_name;stillwood_moonshadow;Лунные тени чащобы;Stillwood Moonshadow
talent_descr;stillwood_moonshadow;Активация статусов pyro{Горение}, dendro{Стимуляция}, electro{Обострение}, dendro{Разрастание}, dendro{Бутонизация}, dendro{Вегетация} и dendro{Цветение} создают рядом с персонажем name{Лист оживления}, который существует 10 сек. name{Сила атаки} подобравшего его персонажа повышается на %{atk_percent|16} на 12 сек. name{Лист оживления} может возникнуть раз в 20 сек. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя.;After triggering pyro{Burning}, dendro{Quicken}, electro{Aggravate}, dendro{Spread}, dendro{Bloom}, dendro{Hyperbloom}, or dendro{Burgeon}, a name{Leaf of Revival} will be created around the character for a maximum of 10s. When picked up, the name{Leaf} will grant the character %{atk_percent|16} name{ATK} for 12s. Only 1 name{Leaf} can be generated this way every 20s. This effect can still be triggered if the character is not on the field.

talent_name;full_circle;Полный круг;Full Circle
talent_descr;full_circle;Вызов name{элементальной реакции} наделяет персонажа эффектом name{Роста и убыли}, который увеличивает name{мастерство стихий} на %{mastery} ед., но понижает name{силу атаки} на %{atk_percent}. Эффект может возникнуть один раз в 0,3 сек. и складывается до 5 раз. Если не вызывать элементальные реакции, каждые 6 сек. теряется по одному уровню эффекта. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя.;"Obtain the ""name{Wax and Wane}"" effect after an name{Elemental Reaction} is triggered, gaining %{mastery} name{Elemental Mastery} while losing %{atk_percent} name{ATK}. For every 0.3s, 1 stack of name{Wax and Wane} can be gained. Max 5 stacks. For every 6s that go by without an Elemental Reaction being triggered, 1 stack will be lost. This effect can be triggered even when the character is off-field."


