category;name;rus;eng
talent_name;weapon_amos_bow;Волевая стрельба;Strong-Willed
talent_descr;weapon_amos_bow; Каждые 0.1 сек. полёта стрелы, выпущенной name{обычной} или name{заряженной атакой}, увеличивают её name{урон} на %{dmg_normal}. Эффект может складываться до 5 раз.;After a name{Normal} or name{Charged Attack} is fired, name{DMG} dealt increases by a further %{dmg_normal} every 0.1 seconds up to 5 times.
talent_descr;weapon_amos_bow_passive;Увеличивает урон обычной и заряженной атаки на %{dmg_normal}.;Increases Normal and Charged Attack DMG by %{dmg_normal}.
talent_name;weapon_windblume_ode;Желание анемонии;Windblume Wish
talent_descr;weapon_windblume_ode;Использование name{элементального навыка} накладывает Древнее желание анемонии, которое увеличивает name{силу атаки} на %{atk_percent} в течение 6 сек.;After using an name{Elemental Skill}, receive a boon from the ancient wish of the Windblume, increasing name{ATK} by %{atk_percent} for 6s.
talent_name;weapon_alley_hunter;Охотник во тьме;Urban Guerrilla
talent_descr;weapon_alley_hunter;Увеличивает name{урон} экипированного этим оружием персонажа, когда тот не на поле боя, на %{dmg_all} в сек. Таким способом макс. количество наносимого урона может быть увеличено до %{text_percent_max}. Через 4 сек. после появления персонажа на поле боя бонус повышения урона от данного эффекта начнёт убывать по %{text_percent_reduce} в сек., пока не опустится до value{0%}.;While the character equipped with this weapon is in the party but not on the field, their name{DMG} increases by %{dmg_all} every second up to a max of %{text_percent_max}. When the character is on the field for more than 4s, the aforementioned DMG buff decreases by %{text_percent_reduce} per second until it reaches 0%.
talent_name;weapon_prototype_crescent;Невозвратный;Unreturning
talent_descr;weapon_prototype_crescent;Попадание name{прицельным выстрелом} по name{слабым местам} увеличивают name{скорость передвижения} на %{move_speed} и name{силу атаки} на %{atk_percent} в течение 10 сек.;name{Charged Attack} hits on name{weak points} increase name{Movement SPD} by %{move_speed} and name{ATK} by %{atk_percent} for 10s.
talent_name;weapon_slingshot;Рогатка;Slingshot
talent_descr;weapon_slingshot;Если name{обычная атака} или name{Прицельный выстрел} поразили цель в течение 0.3 сек после удара или выстрела, то их урон увеличивается на %{text_percent}. В противном случае, name{урон} уменьшается на value{10%}.;If a name{Normal} or name{Charged Attack} hits a target within 0.3s of being fired, increases name{DMG} by %{text_percent}. Otherwise, decreases name{DMG} by value{10%}.
talent_name;weapon_compound_bow;Заряженная стрела;Infusion Arrow
talent_descr;weapon_compound_bow;Попадания name{обычной} и name{заряженной атакой} увеличивают name{силу атаки} на %{atk_percent} и name{скорость атаки} на %{atk_speed_normal} в течение 6 сек. Эффект может складываться до 4 раз. Может возникнуть раз в 0.3 сек.;name{Normal Attack} and name{Charged Attack} hits increase name{ATK} by%{atk_percent} and name{Normal ATK SPD} by %{atk_speed_normal} for 6s. Max 4 stacks. Can only occur once every 0.3s.
talent_name;weapon_elegy_for_the_end;Тысячелетняя симфония: Прощальный гимн;Millennial Movement: Farewell Song
talent_descr;weapon_elegy_for_the_end;name{Мастерство стихии} повышается на %{text_value|100} ед., а name{сила атаки} - на %{text_percent|20}. В течение 20 сек. после активации эффекта name{Талисманы воспоминаний} появляться не будут. Тысячелетняя симфония с эффектами, влияющими на те же навыки, не складывается.;Increases name{Elemental Mastery} by %{text_value|100} and increases name{ATK} by %{text_percent|20}. Once this effect is triggered, you will not gain name{Sigils of Remembrance} for 20s. Of the many effects of the "Millennial Movement," buffs of the same type will not stack.
talent_name;weapon_elegy_for_the_end_passive;Песнь разлуки;The Parting Refrain
talent_descr;weapon_elegy_for_the_end_passive;С ветром доносится мотив Тысячелетней симфонии, которая увеличивает name{мастерство стихий} на %{mastery} ед. При попадании name{элементальным навыком} или name{взрывом стихии} по противнику персонаж получает один name{Талисман воспоминаний}. Он может возникнуть раз в 0,2 сек., даже когда персонаж в отряде, но не активен. Четыре собранных name{Талисмана воспоминаний} пропадают, на 12 сек. наделяя ближайших членов отряда эффектом name{Тысячелетняя симфония: Прощальный гимн}.;A part of the "Millennial Movement" that wanders amidst the winds. Increases name{Elemental Mastery} by %{mastery}. When the name{Elemental Skills} or name{Elemental Bursts} of the character wielding this weapon hit opponents, that character gains a name{Sigil of Remembrance}. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field. When you possess 4 name{Sigils of Remembrance}, all of them will be consumed and all nearby party members will obtain the name{"Millennial Movement: Farewell Song"} effect for 12s.
talent_name;weapon_rust_passive;Быстрая стрельба;Rapid Firing
talent_descr;weapon_rust_passive;Увеличивает name{урон обычной атаки} на %{dmg_normal}, но понижает name{урон заряженной атаки} на %{text_percent}.;Increases name{Normal Attack DMG} by %{dmg_normal} but decreases name{Charged Attack DMG} by %{text_percent}.
talent_name;weapon_skyward_harp;Эхо небесной поэзии;Echoing Ballad
talent_descr;weapon_skyward_harp;При попадании есть %{text_percent_chance} шанс нанести %{text_percent_dmg} физ. урона в небольшом радиусе. Может возникнуть раз в %{text_decimal_cd} сек.;Hits have a %{text_percent_chance} chance to inflict a small AoE attack, dealing %{text_percent_dmg} name{Physical ATK DMG}. Can only occur once every %{text_decimal_cd}s.
talent_name;weapon_stringless;Песнь без стрел;Arrowless Song
talent_descr;weapon_stringless;Увеличивает name{урон элементальных навыков} и name{взрыва стихии} на %{dmg_burst}.;Increases name{Elemental Skill} and name{Elemental Burst DMG} by %{dmg_burst}.
talent_name;weapon_sharpshooter_oath;Меткий;Precise
talent_descr;weapon_sharpshooter_oath;Увеличивает урон по слабым местам противников на %{dmg_weak}.<br>Попадание в слабое место включается на вкладке tab{enemy:Противник}.;Increases DMG against weak spots by %{dmg_weak}.<br>Shots to weak spots can be activated at tab{enemy:Enemy} tab.
talent_name;weapon_viridescent_hunt;Зелёный ветер;Verdant Wind
talent_descr;weapon_viridescent_hunt;При попадании name{обычной} или name{заряженной атакой} появляется %{text_percent_chance} шанс создать name{Циклон}, который притягивает к себе врагов и наносит им %{text_percent_dmg} урона каждые 0.5 сек. в течение 4 сек. Может возникнуть раз в %{text_number_cd} сек.;Upon hit, name{Normal} and name{Aimed Shot Attacks} have a %{text_percent_chance} chance to generate a name{Cyclone}, which will continuously attract surrounding opponents, dealing %{text_percent_dmg} of name{ATK} as DMG to these opponents every 0.5s for 4s. This effect can only occur once every %{text_number_cd}s.
talent_name;weapon_messenger;Шальная почта;Archer's Message
talent_descr;weapon_messenger;При попадании name{заряженной атакой} по name{слабому месту} дополнительно наносит %{text_percent_dmg} урона в качестве крит. урона. Может возникнуть раз в 10 сек.;name{Charged Attack} hits on weak points deal an additional %{text_percent_dmg} name{ATK} DMG as CRIT DMG. Can only occur once every 10s.
talent_name;weapon_mitternachts_waltz;Дуэт полярной ночи;Evernight Duet
talent_descr;weapon_mitternachts_waltz_1;Попадания name{обычной атакой} увеличивают name{урон элементального навыка} на %{dmg_skill} в течение 5 сек.;name{Normal Attack} hits on opponents increase name{Elemental Skill DMG} by %{dmg_skill} for 5s.
talent_descr;weapon_mitternachts_waltz_2;Попадания name{элементальным навыком} увеличивают name{урон обычной атаки} на %{dmg_normal} в течение 5 сек.;name{Elemental Skill} hits on opponents increase name{Normal Attack DMG} by %{dmg_normal} for 5s.
talent_name;weapon_demon_slayer_bow;Ничья;Full Draw
talent_descr;weapon_demon_slayer_bow_1;Увеличивает name{урон} name{обычной атаки} на %{dmg_normal} и name{урон заряженной атаки} на  %{dmg_charged}.;Increases name{Normal Attack} name{DMG} by %{dmg_normal} and name{Charged ATK} name{DMG} by %{dmg_charged}.;Increases name{Normal Attack} name{DMG} by %{dmg_normal} and name{Charged ATK} name{DMG} by %{dmg_charged}.
talent_descr;weapon_demon_slayer_bow_2;Когда элементальная name{энергия} персонажа с этим оружием достигает value{100%}, эффект увеличивается на value{100%}.;When the equipping character's name{Energy} reaches value{100%}, this effect is increased by value{100%}.
talent_name;weapon_thundering_pulse;Правило грома;Rule by Thunder
talent_descr;weapon_thundering_pulse;Увеличивает name{силу атаки} на %{atk_percent} и дарует мощь name{Громовой эмблемы}.;Increases name{ATK} by %{atk_percent} and grants the might of the name{Thunder Seal}.
talent_descr;weapon_thundering_pulse_2;На уровнях эмблемы 1, 2 или 3 name{урон обычной атаки} увеличивается на %{dmg_normal}. Персонаж получает 1 уровень name{Громовой эмблемы} в каждом из следующих случаев:<br>• при нанесении name{урона} name{обычной атакой}, эмблема действует 5 сек.<br>• при применении name{элементального навыка}, эмблема действует 10 сек.<br>• когда элементальная name{энергия} персонажа ниже value{100%}, полученная таким образом эмблема действует до тех пор, пока персонаж не восстановит всю свою элементальную энергию.<br>Продолжительность действия каждого уровня эмблемы рассчитывается индивидуально.;At stack levels 1/2/3, the name{Thunder Seal} increases name{Normal Attack DMG} by %{dmg_normal}. The character will obtain 1 stack of name{Thunder Seal} in each of the following scenarios:<br>• name{Normal Attack} deals DMG (stack lasts 5s)<br>• Casting name{Elemental Skill} (stacks lasts 10s)<br>• name{Energy} is less than value{100%} (stack disappears when Energy is full)<br>Each stack's duration is calculated independently.
talent_name;weapon_polar_star;Знамение полярного дня;Daylight's Augury
talent_descr;weapon_polar_star_1;Урон, наносимый name{элементальным навыком} и name{взрывом стихии}, увеличивается на %{dmg_burst}.;name{Elemental Skill} and name{Elemental Burst} DMG increased by %{dmg_burst}.
talent_descr;weapon_polar_star_2;Когда name{обычная атака}, name{заряженная атака}, name{элементальный навык} или name{взрыв стихии} попадают по врагу, возникает 1 ур. эффекта name{Звезда полярной ночи}, который длится 12 сек.<br>При действии эффекта name{Звезда полярной ночи} name{сила атаки} повышается на %{atk_percent}.<br>Уровни name{Звезды полярной ночи}, созданные name{обычной атакой}, name{заряженной атакой}, name{элементальным навыком} и name{взрывом стихии}, существуют независимо.;After a name{Normal Attack}, name{Charged Attack}, name{Elemental Skill} or name{Elemental Burst} hits an opponent, 1 stack of name{Ashen Nightstar} will be gained for 12s.<br>When effect of name{Ashen Nightstar} is present, name{ATK} is increased by %{atk_percent}.<br>The stack of name{Ashen Nightstar} created by the name{Normal Attack}, name{Charged Attack}, name{Elemental Skill} or name{Elemental Burst} will be counted independently of the others.
talent_name;aqua_simulacra;Очищающая форма;The Cleansing Form
talent_descr;aqua_simulacra_1;Увеличивает HP на %{hp_percent}.;HP is increased by %{hp_percent}.
talent_descr;aqua_simulacra_2;Когда рядом есть враги, урон, наносимый персонажем, экипированным этим оружием, увеличивается на %{dmg_all}. Эффект срабатывает, даже когда персонаж не на поле боя.;When there are opponents nearby, the DMG dealt by the wielder of this weapon is increased by %{dmg_all}. This will take effect whether the character is on-field or not.
talent_name;weapon_fading_twilight_1;Закат;Evengleam
talent_name;weapon_fading_twilight_2;Туман;Afterglow
talent_name;weapon_fading_twilight_3;Заря;Dawnblaze
talent_descr;weapon_fading_twilight_dmg;Увеличивает наносимый урон на %{dmg_all};Increase DMG dealt by %{dmg_all}
talent_name;fading_twilight;Сияние бездны;Radiance of the Deeps
talent_descr;fading_twilight;Оружие обладает 3 состояниями: Закат, Туман и Заря, каждое из которых увеличивает наносимый урон. После попадания по противнику состояние меняется на следующее, не чаще одного раза в 7 сек. Эффект смены состояния срабатывает, даже когда персонаж не на поле боя.;Has three states, Evengleam, Afterglow, and Dawnblaze, which increase DMG dealt. When attacks hit opponents, this weapon will switch to the next state. This weapon can change states once every 7s. The character equipping this weapon can still trigger the state switch while not on the field.
