category;name;rus;eng
talent_name;weapon_infusion_blade;Заряженное лезвие;Infusion Blade
talent_descr;weapon_infusion_blade;При попадании name{Обычной} или name{Заряженной атакой} name{Сила атаки} и name{Защита} увеличивается на %{atk_percent} в течение 6 сек. Эффект может складываться до 4 раз. Может возникнуть не чаще 1 раза за 0.5 сек.;On hit, name{Normal} or name{Charged Attacks} increase name{ATK} and name{DEF} by %{atk_percent} for 6s. Max 4 stacks. Can only occur once every 0.5s.
talent_name;weapon_courage;Храбрый;Courage
talent_descr;weapon_courage;При попадании name{обычной} или name{заряженной атакой} name{сила атаки} увеличивается на %{atk_percent} в течение 6 сек. Эффект может складываться до 4 раз. Может возникнуть раз в 0.5 сек. ;On hit, name{Normal} or name{Charged Attacks} increase name{ATK} by %{atk_percent} for 6s. Max 4 stacks. Can only occur once every 0.5s.
talent_name;weapon_wolfish_tracker;Волк-охотник;Wolfish Tracker
talent_descr;weapon_wolfish_tracker;При попадании по цели с name{HP} меньше value{30%} увеличивает name{силу атаки} всех членов отряда на %{atk_percent|40} в течении 12 сек. Может возникнуть не чаще 1 раза за 30 сек.;On hit, attacks against opponents with less than value{30%} name{HP} increase all party members' name{ATK} by %{atk_percent|40} for 12s. Can only occur once every 30s.
talent_name;weapon_unbending;Непоколебимый;Unbending
talent_descr;weapon_unbending;При name{HP} ниже %{text_percent_hp} врагу становится труднее прервать name{заряженную атаку}. Также увеличивает урон name{заряженной атаки} на %{dmg_charged}.;When name{HP} falls below %{text_percent_hp}, increases name{Charged Attack DMG} by %{dmg_charged}, and name{Charged Attacks} become much harder to interrupt.
talent_name;weapon_wavesplitter;Рассекающий волны;Wavesplitter
talent_descr;weapon_wavesplitter;Пока персонаж находится в бою, каждые 4 сек. увеличивает наносимый им name{урон} на %{dmg_all} и получаемый им урон на %{dmg_recieved}. Может складываться до 5 раз, не сбрасывается при смене персонажа, при получении урона снижается на 1 уровень складывания.;Every 4s a character is on the field, they will deal %{dmg_all} more name{DMG} and take %{dmg_recieved} more name{DMG}. This effect has a maximum of 5 stacks and will not be reset if the character leaves the field, but will be reduced by 1 stack when the character takes DMG.
talent_name;weapon_rebellious_guardian;Бунтарский защитник;Rebellious Guardian
talent_descr;weapon_rebellious_guardian;Под name{защитой щита} увеличивает name{урон} персонажа на %{dmg_all}.;While name{protected by the shield}, the character gains %{dmg_all} increased name{DMG}.
talent_descr;weapon_rebellious_guardian_passive;При получении урона генерируется name{щит}, который в течение 10 сек. поглощает урон, равный %{text_percent_hp} от name{макс. HP}. Может возникнуть раз в 45 сек.;Taking DMG generates a name{shield} which absorbs DMG up to %{text_percent_hp} of name{Max HP}. This shield lasts for 10s or until broken, and can only be triggered once every 45s.
talent_name;weapon_song_of_broken_pines;Тысячелетняя симфония: Гимн знамени;Millennial Movement: Banner-Hymn
talent_descr;weapon_song_of_broken_pines;Увеличивает name{скорость обычной атаки} на %{text_percent_2|12} и name{силу атаки} на %{text_percent|20}. После активации этого эффекта вы не сможете получать name{Печати шёпота} в течение 20 сек. При наличии нескольких эффектов Тысячелетней симфонии усиления одного типа не складываются.;Increases name{Normal ATK SPD} by %{text_percent_2|12} and increases name{ATK} by %{text_percent|20}. Once this effect is triggered, you will not gain name{Sigils of Whispers} for 20s. Of the many effects of the "Millennial Movement" buffs of the same type will not stack.
talent_name;weapon_song_of_broken_pines_passive;Гимн мятежников;Rebel's Banner-Hymn
