category;name;rus;eng
talent_name;weapon_bane_flame_water;Погибель пламени и воды;Bane of Flame and Water
talent_descr;weapon_bane_flame_water;Увеличивает на %{dmg_all} name{урон} против tab{enemy:врагов}, находящихся под действием hydro{Гидро} или pyro{Пиро} элементов.;Increases name{DMG} against tab{enemy:opponents} affected by hydro{Hydro} or pyro{Pyro} by %{dmg_all}.
talent_name;weapon_bane_of_fire_and_thunder;Погибель огня и грома;Bane of Fire and Thunder
talent_descr;weapon_bane_of_fire_and_thunder;Увеличивает на %{dmg_all} name{урон} против tab{enemy:врагов}, находящихся под действием pyro{Пиро} или electro{Электро} элементов.;Increases DMG against tab{enemy:enemies} affected by pyro{Pyro} or electro{Electro} by %{dmg_all}.
talent_name;weapon_bane_of_flame_and_water;Погибель пламени и воды;Bane of Flame and Water
talent_descr;weapon_bane_of_flame_and_water;Увеличивает на %{dmg_all} name{урон} против tab{enemy:врагов}, находящихся под действием hydro{Гидро} или pyro{Пиро} элементов.;Increases name{DMG} against tab{enemy:opponents} affected by hydro{Hydro} or pyro{Pyro} by %{dmg_all}.
talent_name;weapon_bane_of_water_and_ice;Погибель воды и льда;Bane of Water and Ice
talent_descr;weapon_bane_of_water_and_ice;Увеличивает name{урон} против tab{enemy:врагов}, находящихся под hydro{Гидро} и cryo{Крио} эффектом на %{dmg_all}.;Increases name{DMG} against tab{enemy:opponents} affected by hydro{Hydro} or cryo{Cryo} by %{dmg_all}.
talent_name;weapon_bane_of_storm_and_tide;Погибель бури и волны;Bane of Storm and Tide
talent_descr;weapon_bane_of_storm_and_tide;Увеличивает на %{dmg_all} name{урон} против tab{enemy:врагов}, находящихся под действием hydro{Гидро} или electro{Электро} элементов.;Increases name{DMG} against tab{enemy:opponents} affected by hydro{Hydro} or electro{Electro} by %{dmg_all}.
talent_name;weapon_focus;Сосредоточенный;Focus
talent_descr;weapon_focus;При нанесении урона противнику повышает name{шанс крит. попадания} на %{crit_rate}. Эффект может складываться до 5 раз. Добавочный name{шанс крит. попадания} исчезает с первым name{крит. попаданием}.;Upon dealing damage to an opponent, increases name{CRIT Rate} by %{crit_rate}. Max 5 stacks. A name{CRIT hit} removes all existing stacks.
talent_name;weapon_press_the_advantage;Преследование побеждённых;Press the Advantage
talent_descr;weapon_press_the_advantage;Побеждённые противники увеличивают name{силу атаки} на %{atk_percent}. Длится 30 сек. Эффект может складываться до 3 раз. Длительность добавочных эффектов друг от друга не зависит.;After defeating an opponent, name{ATK} is increased by %{atk_percent} for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.
talent_name;weapon_golden_majesty;Золочёное величество;Golden Majesty
talent_descr;weapon_golden_majesty;При попадании увеличивает name{силу атаки} на %{atk_percent} в течение 8 сек. Эффект может складываться до 5 раз и возникнуть раз в 0.3 сек.;Scoring hits on opponents increases name{ATK} by %{atk_percent} for 8s.
talent_descr;weapon_golden_majesty_shield;Под name{защитой щита} бонус name{силы атаки} данного эффекта увеличивается на value{100%}.;While name{protected by a shield}, this name{ATK} increase effect is increased by value{100%}.
talent_descr;weapon_golden_majesty_passive;Увеличивает name{прочность щита} на %{shield}.;Increases name{Shield Strength} by %{shield}.
talent_name;weapon_lithic_axiome;Наставление камня: Единство;Lithic Axiom - Unity
talent_name;weapon_lithic_axiome_liyue;Текущий персонаж из Лю Юэ;Current character is from Liyue
talent_descr;weapon_lithic_axiome;С каждым членом отряда из Ли Юэ name{сила атаки} экипированного этим оружием персонажа увеличивается на %{atk_percent}, а его name{шанс крит. попадания} - на %{crit_rate}. Эффект может складываться до 4 раз (%{weapon_lithic_stacks}).;For every character in the party who hails from Liyue, the character who equips this weapon gains %{atk_percent} name{ATK} increase and %{crit_rate} name{CRIT Rate} increase. This effect stacks up to 4 times (%{weapon_lithic_stacks}).
talent_name;weapon_favonoius_passive;Дружественный бриз;Windfall
