category;name;rus;eng
talent_name;weapon_alley_flash;Странствующий рыцарь;Itinerant Hero
talent_descr;weapon_alley_flash;Увеличивает name{урон} персонажа на %{dmg_all}. После получения урона эффект пропадает на 5 сек.;Increases name{DMG} dealt by the character equipping this weapon by %{dmg_all}. Taking DMG disables this effect for 5s.
talent_name;weapon_skyrider_sword;Решительность;Determination
talent_descr;weapon_skyrider_sword;Активация name{взрыва стихии} увеличивает name{силу атаки} и name{скорость передвижения} на %{atk_percent} в течение 15 сек.;Using an name{Elemental Burst} grants a %{atk_percent} increase in name{ATK} and name{Movement SPD} for 15s.
talent_name;weapon_skyward_blade;Клык, пронзивший небеса;Sky-Piercing Fang
talent_descr;weapon_skyward_blade;name{Взрыв стихии} пробуждает силу небес, которая увеличивает name{скорость передвижения} и name{атаки} на %{atk_speed_normal}, а name{обычные} и name{заряженные атаки} при попадании наносят дополнительные %{text_percent} урона. Все эффекты длятся 12 сек.;Gains Skypiercing Might upon using name{Elemental Burst}: Increases name{Movement SPD} by %{move_speed}, increases name{ATK SPD} by %{atk_speed_normal}, and name{Normal} and name{Charged} hits deal additional DMG equal to %{text_percent} of name{ATK}. Skypiercing Might lasts for 12s.
talent_name;weapon_harbinger_of_dawn;Энергичный;Vigorous
talent_descr;weapon_harbinger_of_dawn;Увеличивает name{шанс крит. попадания} на %{crit_rate} при name{HP} выше value{90%}.;When name{HP} is above value{90%}, increases name{CRIT Rate} by %{crit_rate}.
talent_name;weapon_prototype_rancour;Расколотый камень;Smashed Stone
talent_descr;weapon_prototype_rancour;Попадание name{обычной} или name{заряженной атакой} увеличивают name{силу атаки} и name{защиту} на %{atk_percent} в течении 6 сек. Эффект может складываться до 4 раз и возникает раз в 0.3 сек.;On hit, name{Normal} or name{Charged Attacks} increase name{ATK} and name{DEF} by %{atk_percent} for 6s. Max 4 stacks. Can only occur once every 0.3s.
talent_name;weapon_iron_sting;Заряженное жало;Infusion Stinger
talent_descr;weapon_iron_sting;Нанесённый name{Элементальный урон} увеличивает name{весь урон} на %{dmg_all} в течение 6 сек. Эффект может складываться до 2 раз. Может возникнуть не чаще 1 раза за 1 сек.;Dealing name{Elemental DMG} increases name{all DMG} by %{dmg_all} for 6s. Max 2 stacks. Can only occur once every 1s.
talent_name;weapon_dark_iron_sword;Перегружен;Overloaded
talent_descr;weapon_dark_iron_sword;Увеличивает name{силу атаки} на %{atk_percent} на 12 сек. при активации реакций pyro{Перегрузка}, cryo{Сверхпроводник}, electro{Заряжен}, dendro{Стимуляция}, electro{Обострение}, dendro{Вегетация} или electro{Электро Рассеивание}.;Upon causing an pyro{Overloaded}, cryo{Superconduct}, electro{Electro-Charged}, dendro{Quicken}, electro{Aggravate}, dendro{Hyperbloom}, or electro{Electro-infused Swirl} reaction, name{ATK} is increased by %{atk_percent} for 12s.
talent_name;weapon_aquila_favonia;Неповиновение Сокола;Falcon's Defiance
talent_descr;weapon_aquila_favonia;При получении урона пробуждается душа Сокола Запада, несущего знамя сопротивления. Восстанавливает name{HP}, равное %{text_percent_hp} от name{силы атаки}, и наносит %{text_percent_dmg} урона окружающим врагам. Может возникнуть раз в 15 сек.;Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating name{HP} equal to %{text_percent_hp} of name{ATK} and dealing %{text_percent_dmg} of name{ATK} as DMG to surrounding opponents. This effect can only occur once every 15s.
talent_name;weapon_black_sword;Справедливость;Justice
talent_descr;weapon_black_sword;Увеличивает name{урон обычной} и name{заряженной атаки} на %{dmg_normal}. name{Крит. попадания обычной} и name{заряженной атакой} восстанавливают name{HP}, равное %{text_percent} от name{силы атаки}. Может возникнуть раз в 5 сек.;Increases name{DMG} dealt by name{Normal} and name{Charged Attacks} by %{dmg_normal}. Additionally, regenerates %{text_percent} of name{ATK} as name{HP} when name{Normal} and name{Charged Attacks} score a name{CRIT Hit}. This effect can occur once every 5s.
talent_name;weapon_festering_desire;Бессмертное восхищение;Undying Admiration
talent_descr;weapon_festering_desire;Увеличивает name{урон элементального навыка} на %{dmg_skill}, и его name{шанс крит. попадания} - на %{crit_rate_skill}.;Increases name{Elemental Skill DMG} by %{dmg_skill} and name{Elemental Skill CRIT Rate} by %{crit_rate_skill}.
talent_name;weapon_primordial_jade_cutter;Добродетель защитника;Protector's Virtue
talent_descr;weapon_primordial_jade_cutter;Увеличивает name{HP} на %{hp_percent}. Также даёт бонус name{атаки}, равный %{text_percent} от name{макс. HP} экипированного этим оружием персонажа.;name{HP} increased by %{hp_percent}. Additionally, provides an name{ATK} Bonus based on %{text_percent} of the wielder's name{Max HP}.
talent_name;weapon_travelers_handy_sword;Путешествие;Journey
talent_descr;weapon_travelers_handy_sword;Подобранные name{элементальные сферы} и name{частицы} восстанавливают %{text_percent_hp|1|2} name{HP}.;Each name{Elemental Orb} or name{Particle} collected restores %{text_percent_hp|1|2} name{HP}.
talent_name;weapon_flute;Аккорд;Chord
talent_descr;weapon_flute;Попадания name{обычной} или name{заряженной атакой} дают name{музыкальную ноту}. При накоплении 5 name{нот} активируется name{сила музыки}, которая наносит %{text_percent_dmg} урона окружающим врагам. Ноты исчезают через 30 сек. Новую ноту можно получить раз в 0.5 сек.;name{Normal} or name{Charged Attacks} grant a name{Harmonic} on hits. Gaining 5 name{Harmonics} triggers the name{power of music} and deals %{text_percent_dmg} name{ATK} DMG to surrounding opponents. Harmonics last up to 30s, and a maximum of 1 can be gained every 0.5s.
talent_name;weapon_fillet_blade;Решительный;Gash
talent_descr;weapon_fillet_blade;При попадании с value{50%} вероятностью наносит %{text_percent_dmg} name{урона} одной цели. Может возникнуть раз в 15 сек.;On hit, has a value{50%} chance to deal %{text_percent_dmg} name{ATK} DMG to a single opponent. Can only occur once every 15s.
talent_name;weapon_otherworldly_story;Дождь энергии;Energy Shower
talent_descr;weapon_otherworldly_story;Подобранные name{элементальные сферы} и name{частицы} восстанавливают %{text_percent_hp|1|2} name{HP}.;Picking up an name{Elemental Energy Orb/Particle} recovers %{text_percent_hp|1|2} name{HP}.
talent_name;weapon_freedom_sworn_passive;Песнь восстания;Revolutionary Chorale
talent_descr;weapon_freedom_sworn_passive;С ветром доносится мотив Тысячелетней симфонии, которая увеличивает наносимый name{урон} на %{dmg_all}.<br>Вызов name{элементальной реакции} даёт персонажу один name{Талисман воодушевления}. Он может возникнуть раз в 0.5 сек., даже когда персонаж в отряде, но не активен. Два собранных namee{Талисмана воодушевления} пропадают, на 12 сек. наделяя ближайших членов отряда эффектом name{Тысячелетняя симфония: Гимн восстания}.;A part of the "Millennial Movement" that wanders amidst the winds. Increases name{DMG} by %{dmg_all}.<br>When the character wielding this weapon triggers name{Elemental Reactions}, they gain a name{Sigil of Rebellion}. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field. When you possess 2 name{Sigils of Rebellion}, all of them will be consumed and all nearby party members will obtain name{"Millennial Movement: Song of Resistance"} for 12s.
talent_name;weapon_freedom_sworn;Тысячелетняя симфония: Гимн восстания;Millennial Movement: Song of Resistance
talent_descr;weapon_freedom_sworn;Увеличивает name{урон}, наносимый name{обычной атакой}, name{заряженной атакой} и name{атакой в падении}, на %{text_percent_2|16}, а name{силу атаки} - на %{text_percent|20}. В течение 20 сек. после активации эффекта name{Талисманы воодушевления} появляться не будут. Тысячелетняя симфония с эффектами, влияющими на те же навыки, не складывается.;Increases name{Normal}, name{Charged} and name{Plunging Attack} name{DMG} by %{text_percent_2|16} and increases name{ATK} by %{text_percent|20}. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s. Of the many effects of the "Millennial Movement," buffs of the same type will not stack.
talent_name;weapon_mistsplitters_reforged;Лезвие рассекателя тумана;Mistsplitter's Edge
